aX,aY,aZ,gX,gY,gZ
0.219,0.693,-2.064,-623.598,313.049,-83.963
-0.006,0.021,-2.199,-627.378,322.195,-101.402
-0.197,-0.569,-2.405,-626.098,324.817,-98.415
-0.398,-1.112,-2.401,-633.781,325.244,-75.854
-0.493,-1.564,-2.190,-642.012,328.659,-36.646
-0.861,-1.982,-1.905,-647.683,353.354,-6.402
-1.205,-2.642,-1.711,-645.183,355.549,6.829
-1.801,-3.381,-1.015,-625.061,347.866,-2.988
-2.274,-4.000,-0.491,-585.671,342.012,-36.951
-2.611,-4.000,-0.769,-519.756,304.512,-88.963
-2.946,-4.000,-1.111,-450.976,255.244,-147.744
-2.795,-4.000,-0.887,-380.976,173.841,-187.866
-2.703,-4.000,-0.542,-314.756,125.854,-215.488
-2.486,-4.000,-0.161,-249.817,102.195,-227.866
-2.226,-4.000,0.243,-182.805,73.659,-218.476
-2.036,-4.000,0.525,-125.000,43.780,-182.561
-1.861,-4.000,0.922,-70.122,25.793,-116.585
-1.599,-4.000,1.046,-32.073,25.366,-38.232
-1.459,-3.975,0.881,-2.744,10.671,61.524
-1.364,-3.499,1.160,14.085,8.049,150.732
-1.364,-3.051,1.112,34.573,6.037,232.073
-1.202,-2.486,1.122,46.220,6.585,307.195
-1.264,-1.918,0.987,54.939,-4.390,358.537
-1.242,-1.561,1.042,61.707,-8.110,388.232
-1.232,-1.166,1.000,66.341,-15.854,390.183
-1.209,-0.727,1.028,68.963,-32.012,371.829
-1.124,-0.398,1.037,70.915,-37.012,325.854
-1.062,-0.146,1.074,66.341,-48.171,264.634
-0.978,0.196,1.104,66.768,-53.720,194.756
-0.814,0.405,1.072,62.805,-53.476,124.024
-0.661,0.553,1.097,58.841,-55.549,50.610
-0.583,0.661,1.111,54.878,-54.634,-11.280
-0.464,0.712,1.098,45.915,-56.280,-69.268
-0.384,0.716,1.106,39.939,-52.378,-116.829
-0.319,0.673,1.105,30.671,-47.622,-149.451
-0.282,0.604,1.065,18.963,-40.549,-174.756
-0.245,0.500,1.053,12.927,-34.878,-181.524
